id,alias,name,image_url,url,review_count,categories_0_alias,coordinates_latitude,coordinates_longitude,price,location_city,location_zip_code,location_country,location_state,location_display_address_0,wifi,credit_card,noise_level,rolled_amount,selected_amount
hWE2CDphzZ3nXlwv3Uk6Og,philz-coffee-san-francisco-3,Philz Coffee,https://s3-media4.fl.yelpcdn.com/bphoto/WA_70rUbeEPWPH2BYUr19g/o.jpg,https://www.yelp.com/biz/philz-coffee-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1405,coffee,37.77566,-122.393,$,San Francisco,94158,US,CA,201 Berry St,yes,yes,average,0,0
t0MUKjSjCaQeXHTGQlfosg,home-coffee-roasters-san-francisco,Home Coffee Roasters,https://s3-media1.fl.yelpcdn.com/bphoto/rTJkrhU1pnjT-Yk5hWk7Tg/o.jpg,https://www.yelp.com/biz/home-coffee-roasters-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1124,coffee,37.75445,-122.477,$,San Francisco,94122,US,CA,1222 noriega St,yes,yes,average,0,0
wsPDEO08w_lH0x123_YEXg,philz-coffee-san-francisco-2,Philz Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/MqBug6bHw33uQhlh98FExA/o.jpg,https://www.yelp.com/biz/philz-coffee-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1055,coffee,37.76013,-122.435,$,San Francisco,94114,US,CA,549 Castro St,yes,yes,average,0,0
yn5gA62ekL-TzKBBI_rq-A,boba-guys-san-francisco-6,Boba Guys,https://s3-media4.fl.yelpcdn.com/bphoto/tY1HyU-Rzz0usQ7vqQ8kVQ/o.jpg,https://www.yelp.com/biz/boba-guys-san-francisco-6?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1986,coffee,37.78994,-122.407,$,San Francisco,94108,US,CA,429 Stockton St,,,,0,0
E8RJkjfdcwgtyoPMjQ_Olg,four-barrel-coffee-san-francisco,Four Barrel Coffee,https://s3-media3.fl.yelpcdn.com/bphoto/NBm7cKsFwecEm82oP_-qUg/o.jpg,https://www.yelp.com/biz/four-barrel-coffee-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,2089,coffee,37.76702,-122.422,$,San Francisco,94103,US,CA,375 Valencia St,no,yes,average,0,0
sSiUcnbwPQ4ssHY3EMV0Fw,matcha-cafe-maiko-san-francisco-10,Matcha Cafe Maiko,https://s3-media2.fl.yelpcdn.com/bphoto/OggJgIXun4eqnSwCx4ZgHw/o.jpg,https://www.yelp.com/biz/matcha-cafe-maiko-san-francisco-10?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,916,coffee,37.78505,-122.432,$,San Francisco,94115,US,CA,1581 Webster St,,,,0,0
VzlVF1yc_BboRwwqJcvkxg,mymy-san-francisco-3,Mymy,https://s3-media3.fl.yelpcdn.com/bphoto/yU_nI0inYflkj7RX2zd7WQ/o.jpg,https://www.yelp.com/biz/mymy-san-francisco-3?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1746,breakfast_brunch,37.79094,-122.419,$$,San Francisco,94109,US,CA,1500 California St,,,,0,0
TfvirefqknwFZGCGYvHFgw,chantal-guillon-macarons-san-francisco-2,Chantal Guillon Macarons,https://s3-media1.fl.yelpcdn.com/bphoto/1n0R1NbPoeIkY4NEfdeSyA/o.jpg,https://www.yelp.com/biz/chantal-guillon-macarons-san-francisco-2?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1018,desserts,37.77667,-122.424,$$,San Francisco,94102,US,CA,437 Hayes St,,,,0,0
VD527WwvrhE3Nhzf5vaMNw,sightglass-coffee-san-francisco-7,Sightglass Coffee,https://s3-media2.fl.yelpcdn.com/bphoto/4psh1vVupE7Iur4UGTL0SA/o.jpg,https://www.yelp.com/biz/sightglass-coffee-san-francisco-7?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1840,coffeeroasteries,37.77696,-122.409,$$,San Francisco,94103,US,CA,270 Seventh St,no,yes,average,0,0
WhTpALYvB4ZBMcT8fFVLvw,holy-gelato-san-francisco,Holy Gelato!,https://s3-media1.fl.yelpcdn.com/bphoto/E_E2UC2gQDI-zJjI5fWRog/o.jpg,https://www.yelp.com/biz/holy-gelato-san-francisco?adjust_creative=7szgsruXO1Hyi8ghtcTjRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=7szgsruXO1Hyi8ghtcTjRg,1048,icecream,37.76242,-122.466,$,San Francisco,94122,US,CA,1392 9th Ave,,,,0,0
